0,1,2,3,4
2015-09-13,4.433975,4.5189,4.39265,4.502375
2015-09-20,4.65342,4.68468,4.60232,4.6336
2015-09-27,4.57886,4.6366,4.5488,4.61374
2015-10-04,4.66724,4.71594,4.62034,4.67146
2015-10-11,4.72618,4.76824,4.68048,4.71354
2015-10-18,4.57226,4.60352,4.53376,4.55962
2015-10-25,4.53318,4.56864,4.5031,4.54098
2015-11-01,4.568,4.61314,4.53796,4.57646
2015-11-08,4.5488,4.57524,4.5019,4.52896
2015-11-15,4.38528,4.40688,4.32694,4.3522
2015-11-22,4.34198,4.37566,4.31974,4.3552
2015-11-29,4.37965,4.407225,4.3463,4.379175
2015-12-06,4.39328,4.44878,4.3738,4.42634
2015-12-13,4.4417,4.4807,4.3992,4.43168
2015-12-20,4.4293,4.4689,4.38146,4.43344
2015-12-27,4.363475,4.3856,4.322875,4.3354
2016-01-03,4.269675,4.2904,4.23205,4.254175
2016-01-10,4.18656,4.21196,4.14346,4.17946
2016-01-17,4.20724,4.26572,4.17242,4.22024
2016-01-24,4.33245,4.3775,4.315475,4.3509
2016-01-31,4.35194,4.39036,4.3295,4.35666
2016-02-07,4.3809,4.39858,4.3484,4.36968
2016-02-14,4.27692,4.29228,4.24504,4.26216
2016-02-21,4.296275,4.330975,4.285175,4.318425
2016-02-28,4.29088,4.30732,4.25284,4.26634
2016-03-06,4.17798,4.20372,4.16102,4.17682
2016-03-13,4.21366,4.24756,4.1926,4.22244
2016-03-20,4.30084,4.32538,4.28326,4.30318
2016-03-27,4.31195,4.33535,4.293675,4.322175
2016-04-03,4.285,4.30784,4.20722,4.24816
2016-04-10,4.17562,4.20256,4.15572,4.19494
2016-04-17,4.2792,4.34706,4.25346,4.31896
2016-04-24,4.48778,4.56768,4.4265,4.48092
2016-05-01,4.431,4.51768,4.39578,4.47836
2016-05-08,4.41772,4.45354,4.35074,4.38654
2016-05-15,4.37614,4.46048,4.32996,4.40212
2016-05-22,4.54478,4.59098,4.49686,4.55752
2016-05-29,4.61988,4.69034,4.59216,4.6701
2016-06-05,4.74895,4.810325,4.7013,4.769175
2016-06-12,4.9208,4.9947,4.87806,4.93232
2016-06-19,4.95312,5.04034,4.90578,4.98604
2016-06-26,4.69438,4.7169,4.54304,4.58118
2016-07-03,4.36388,4.42856,4.26858,4.30404
2016-07-10,3.973275,4.04675,3.889925,3.965225
2016-07-17,4.06696,4.1509,3.97068,4.04738
2016-07-24,3.93096,3.9662,3.84254,3.89738
2016-07-31,3.81232,3.85712,3.77424,3.82016
2016-08-07,3.74682,3.7804,3.70712,3.73564
2016-08-14,3.72894,3.75464,3.68978,3.7312
2016-08-21,3.77818,3.81848,3.75634,3.8112
2016-08-28,3.78378,3.8,3.72836,3.74908
2016-09-04,3.58342,3.63434,3.55656,3.59126
2016-09-11,3.712575,3.761525,3.683875,3.746125
2016-09-18,3.73902,3.78322,3.68584,3.73398
2016-09-25,3.7776,3.81288,3.74682,3.77704
2016-10-02,3.70208,3.74406,3.6657,3.70712
2016-10-09,3.84366,3.89176,3.81008,3.85542
2016-10-16,3.83806,3.91362,3.81174,3.87052
2016-10-23,3.96118,3.99982,3.9231,3.96062
2016-10-30,3.94046,3.98302,3.9153,3.95334
2016-11-06,3.92368,3.94382,3.8823,3.90912
2016-11-13,3.87668,3.92314,3.82744,3.8599
2016-11-20,3.8056,3.84368,3.77984,3.82072
2016-11-27,3.902825,3.9273,3.877675,3.9196
2016-12-04,3.84118,3.87014,3.79472,3.8133
2016-12-11,3.88162,3.9428,3.85098,3.90946
2016-12-18,3.92806,3.95536,3.89744,3.92752
2016-12-25,3.83242,3.84116,3.80076,3.81606
2017-01-01,3.820675,3.865075,3.79405,3.836375
2017-01-08,3.899225,3.944325,3.883525,3.92245
2017-01-15,3.9133,3.9297,3.87452,3.91384
2017-01-22,3.970925,4.020775,3.95865,4.005075
2017-01-29,4.00236,4.01874,3.963,3.99086
2017-02-05,3.96304,3.99742,3.9379,3.9701
2017-02-12,4.00782,4.05864,3.99416,4.03186
2017-02-19,4.09526,4.1182,4.05974,4.08706
2017-02-26,4.025175,4.047,3.996675,4.0157
2017-03-05,4.01076,4.08094,3.98934,4.03488
2017-03-12,4.0167,4.02952,3.96312,3.98242
2017-03-19,3.8924,3.91814,3.8785,3.89936
2017-03-26,3.87582,3.8865,3.83886,3.8453
2017-04-02,3.82656,3.86296,3.8094,3.8426
2017-04-09,3.89992,3.9299,3.871,3.8892
2017-04-16,3.9129,3.96445,3.898825,3.941
2017-04-23,3.89314,3.9145,3.85148,3.86158
2017-04-30,3.85736,3.90148,3.82582,3.85944
2017-05-07,3.91306,3.95664,3.87208,3.91358
2017-05-14,3.87522,3.90886,3.85316,3.88154
2017-05-21,3.87154,3.90308,3.84368,3.87524
2017-05-28,3.90408,3.9351,3.88152,3.9062
2017-06-04,3.90295,3.93705,3.867475,3.89045
2017-06-11,3.9787,4.0423,3.96454,4.0113
2017-06-18,3.9966,4.04018,3.94562,3.98714
2017-06-25,3.89938,3.9225,3.84946,3.85892
2017-07-02,3.78326,3.83646,3.76976,3.80534
2017-07-09,3.999025,4.06205,3.960525,4.014875
2017-07-16,4.0405,4.072,3.9565,4.002
2017-07-23,3.9475,4.0155,3.8945,3.9495
2017-07-30,3.8815,3.9125,3.8375,3.8705
2017-08-06,3.8055,3.833,3.7745,3.803
2017-08-13,3.823,3.8535,3.779,3.8065
2017-08-20,3.6925,3.711,3.6555,3.6815
2017-08-27,3.5985,3.6125,3.5665,3.5745
2017-09-03,3.5085,3.549,3.48,3.5125
2017-09-10,3.56875,3.60375,3.55125,3.574375
2017-09-17,3.542,3.57,3.511,3.5425
2017-09-24,3.503,3.5355,3.4845,3.507
2017-10-01,3.526,3.5535,3.5035,3.5365
2017-10-08,3.506,3.519,3.4835,3.4965
